"","id","lon","lat","population","schools","jobs","healthcare"
"306","89a9012ae13ffff",-51.2387590408726,-30.0885770202891,851,1,114,1
"307","89a901298cfffff",-51.166280105447,-30.0268031162988,0,0,83,0
"308","89a9012aa73ffff",-51.2346614950448,-30.0625849050176,0,0,0,0
"309","89a90129eafffff",-51.1604392534629,-30.0328477931259,379,0,48,0
"310","89a90128e8fffff",-51.2186630153438,-30.0431511378807,960,1,437,1
"311","89a90129e77ffff",-51.1511741320959,-30.0294700458712,846,1,115,0
"312","89a90128267ffff",-51.173464294438,-30.0539396419715,0,0,1,0
"313","89a9012aa03ffff",-51.2378613631607,-30.0664732199446,0,0,0,0
"314","89a90129a6bffff",-51.1442141330207,-30.0078549866136,646,0,544,0
"315","89a9012810bffff",-51.2131604983761,-30.0574910924569,422,0,185,1
"316","89a9012a1abffff",-51.2454954279644,-30.1046281066361,1644,0,51,1
"317","89a90129ad3ffff",-51.1448850337358,-30.0244549541501,565,0,119,0
"318","89a90129d1bffff",-51.1908731162719,-30.0330327739962,901,0,137,0
"319","89a90128517ffff",-51.220121094874,-30.0790797271446,310,0,75,1
"320","89a9012851bffff",-51.2140574656267,-30.0795996241754,636,0,6,0
"321","89a9012aa5bffff",-51.2257354378747,-30.0675098526512,325,0,14,0
"322","89a9012aac3ffff",-51.2320228790436,-30.0725165167126,595,0,267,0
"323","89a901286afffff",-51.1836249094843,-30.0794200490402,78,0,1,0
"324","89a90129a67ffff",-51.1502792931469,-30.007342825252,1381,0,190,0
"325","89a9012b10fffff",-51.1752555268514,-30.0981572451662,214,0,0,0
"326","89a9012b143ffff",-51.1662136027974,-30.1003123024193,34,0,0,0
"327","89a90129897ffff",-51.1786330009244,-30.0313037129287,196,0,1374,0
"328","89a90128607ffff",-51.1775600861082,-30.0799382646681,149,0,0,0
"329","89a90129e07ffff",-51.1543742234807,-30.0333649363693,596,0,151,0
"330","89a90128193ffff",-51.2196722105367,-30.0680254941969,133,0,0,0
"331","89a90129d8bffff",-51.1940732493631,-30.0369266923201,1386,0,247,0
"332","89a90129a4fffff",-51.1413494321481,-30.0122620905946,1145,0,69,0
"333","89a9012ae67ffff",-51.2383103152574,-30.0775273862582,492,0,4,0
"334","89a90128373ffff",-51.1914331955067,-30.0468620536447,2316,0,108,0
"335","89a90128177ffff",-51.2160239607553,-30.0530869745674,967,1,477,0
"336","89a9012a157ffff",-51.2333694752619,-30.1056654540959,760,1,93,0
"337","89a90129a83ffff",-51.1539270249502,-30.0223013542775,1270,1,461,1
"338","89a90128123ffff",-51.2220869366615,-30.0525669912435,665,0,557,0
"339","89a90129163ffff",-51.148868482923,-30.0477067631374,1187,0,50,0
"340","89a90129827ffff",-51.1810493320308,-30.0158323212808,184,0,86,0
"341","89a90129ecbffff",-51.1424674181428,-30.0399256771673,721,2,81,0
"342","89a90e926dbffff",-51.1834652417427,-30.0003563392719,0,0,0,0
"343","89a90128a0fffff",-51.2145661421616,-30.0171401422744,189,0,38,0
"344","89a90129b37ffff",-51.1803773364012,-29.9992325326617,0,0,0,0
"345","89a90128b4fffff",-51.2262429056598,-30.0050367008693,49,0,3,0
"346","89a9012aebbffff",-51.2448217830166,-30.088055984537,0,0,0,0
"347","89a90e9349bffff",-51.1501675419876,-30.004572404538,487,0,343,0
"348","89a9012844bffff",-51.1839609567378,-30.0877130696992,170,0,222,0
"349","89a9012a38bffff",-51.2180424303104,-30.1028220160024,74,0,429,0
"350","89a90128a97ffff",-51.2210776247679,-30.0276835721821,1476,0,3770,1
"351","89a901284b3ffff",-51.2054663750718,-30.092807099667,4,0,0,0
"352","89a901281cbffff",-51.2073213636279,-30.0635378171746,815,0,70,0
"353","89a90129ddbffff",-51.1850330836302,-30.0390830450055,1430,0,194,0
"354","89a901285dbffff",-51.2082180593752,-30.0856418605869,211,1,767,2
"355","89a901295afffff",-51.1620058216027,-30.0715565568279,1188,0,12,0
"356","89a90129a13ffff",-51.1507266601624,-30.0184064457983,534,0,131,0
