route_id,route_short_name,route_long_name,fare_id,price,type,price_bu
48624849,BRT 53,Sulacap - Jardim Oceânico (via Alvorada),34127393,4.05,brt,4.05
12860043,852,Campo Grande - Pedra de Guaratiba (via Estrada do Mato Alto) (Circular),32069624,4.05,onibus_municipal,4.05
12860267,456,Norte Shopping - Copacabana (via Túnel Santa Bárbara) (Circular),32069624,4.05,onibus_municipal,4.05
12860223,794,Cascadura - Bangu (via Barata),32069624,4.05,onibus_municipal,4.05
12865824,614,Del Castilho - Alvorada,32069624,4.05,onibus_metro,4.05
31108376,991A,Taquara - Terminal Alvorada (via Cidade de Deus),34127545,4.05,onibus_municipal,4.05
12867310,635,Bananal - Saens Peña (via Linha Vermelha/Cidade Universitária),32069624,4.05,onibus_municipal,4.05
12862415,404,Cordovil - Leblon (via Av. Brasil) (Circular),32069624,4.05,onibus_municipal,4.05
13387026,"",Barca Praça XV - Paquetá,13794408,6.5,barca,6.3
12866493,341,Taquara - Candelária,32069624,4.05,onibus_municipal,4.05
12864934,782,Cascadura - Marechal Hermes (via Rocha Miranda) (Circular),32069624,4.05,onibus_municipal,4.05
12860390,349,Rocha Miranda - Castelo (Circular),32069624,4.05,onibus_municipal,4.05
12862090,687,Pavuna - Méier,32069624,4.05,onibus_municipal,4.05
39459475,513,Comunidade do Alemão - Terminal Centro,50226559,4.05,onibus_metro,4.05
12863126,790,Campo Grande - Cascadura,32069624,4.05,onibus_municipal,4.05
12864023,723,Cascadura - Mariópolis,32069624,4.05,onibus_municipal,4.05
12863172,623,Penha - Saens Peña (via Túnel Noel Rosa) (Circular),32069624,4.05,onibus_municipal,4.05
12861428,840,São Fernando - Campo Grande (via Av. João XXIII),32069624,4.05,onibus_municipal,4.05
12869782,525,General Osório - Alvorada,32069624,4.05,onibus_municipal,4.05
12861270,663,Méier - Fundão (Circular),32069624,4.05,onibus_municipal,4.05
12861319,369,Bangu - Candelária,32069624,4.05,onibus_municipal,4.05
38049426,"",Curicica (Projac) - Rio Sul (via B. da Tijuca) (Circular),32069624,4.05,onibus_municipal,4.05
12860201,786,Campo Grande - Marechal Hermes,32069624,4.05,onibus_municipal,4.05
13439213,665,Pavuna - Saens Peña (via Av. Pastor Martin Luther King),32069624,4.05,onibus_municipal,4.05
12864815,639,Jardim América - Saens Peña (via Rocha Miranda),32069624,4.05,onibus_municipal,4.05
12864891,864,Bangu - Campo Grande,32069624,4.05,onibus_municipal,4.05
13387030,"",Barca Praça XV - Araribóia,13794408,6.5,barca,6.3
13387065,L2,Linha 2 (Verde),13966833,5,metro,5
12861377,380,Curicica - Candelária (via Linha Amarela/Estrada do Pau Ferro),32069624,4.05,onibus_municipal,4.05
12861315,301,Rodoviária - Barra da Tijuca (via Av. das Américas),32069624,4.05,onibus_municipal,4.05
12860091,887,Pechincha - Barra da Tijuca (Circular),32069624,4.05,onibus_municipal,4.05
12860235,804,Largo do Aarão - Campo Grande (via Rua Felipe Cardoso),32069624,4.05,onibus_municipal,4.05
12860034,457,Abolição - Copacabana (via Túnel Santa Bárbara) (Circular),32069624,4.05,onibus_municipal,4.05
12869808,860,Rio das Pedras - Freguesia (Circular),32069624,4.05,onibus_municipal,4.05
12865620,731,Campo Grande - Marechal Hermes (via Estrada da Posse),32069624,4.05,onibus_municipal,4.05
12864845,239,Água Santa - Castelo (via Rua Vinte e Quatro de Maio) (Circular),32069624,4.05,onibus_municipal,4.05
12862154,771,Campo Grande - Coelho Neto (via Estrada da Posse),32069624,4.05,onibus_municipal,4.05
12860322,843,Campo Grande - Boa Esperança (Circular),32069624,4.05,onibus_municipal,4.05
12860251,693,Méier - Alvorada (via Rua Dias da Cruz/Linha Amarela),32069624,4.05,onibus_municipal,4.05
39459514,609,Castelo São Manoel - Terminal Corrêas,50226559,4.05,onibus_metro,4.05
12862255,863,Rio das Pedras - Barra da Tijuca (via Av. Ayrton Senna) (Circular),32069624,4.05,onibus_municipal,4.05
49191520,897,Paciência - Pingo D'agua (Via Est. 31 de Outubro) (Circular),32069624,4.05,onibus_municipal,4.05
12868694,891A,Sepetiba - Mato Alto,34127545,4.05,onibus_municipal,4.05
12866661,784,Vila Kennedy - Marechal Hermes,32069624,4.05,onibus_municipal,4.05
33083413,BRT 40,Madureira - Jardim Oceânico (via Alvorada),34127393,4.05,brt,4.05
12866585,111,Central - Jardim de Alah (via Elevado/Túnel Rebouças) (Circular),32069624,4.05,onibus_municipal,4.05
12863184,388,Santa Cruz - Candelária (via Av. Brasil) (Expresso),32069624,4.05,onibus_municipal,4.05
12864228,392,Bangu - Candelária (via Padre Miguel),32069624,4.05,onibus_municipal,4.05
12865649,580,Largo do Machado - Cosme Velho,32069624,4.05,onibus_municipal,4.05
42619650,218,Vila Isabel - Candelária (Circular),32069624,4.05,onibus_municipal,4.05
12860197,584,Cosme Velho - Leblon (via Copacabana) (Circular),32069624,4.05,onibus_municipal,4.05
12862206,849,Base Aérea de Santa Cruz - Campo Grande,32069624,4.05,onibus_municipal,4.05
12861256,313,Penha (Grotão) - Praça Tiradentes (via Vila Cruzeiro) (Circular),32069624,4.05,onibus_municipal,4.05
12868117,936,Campo Grande - Cidade Universitária (via Av. Brasil),32069624,4.05,onibus_municipal,4.05
12860185,110,Rodoviária - Jardim de Alah (via Túnel Rebouças) (Circular),32069624,4.05,onibus_municipal,4.05
12864122,292,Engenho da Rainha - Castelo (Circular),32069624,4.05,onibus_municipal,4.05
12861373,497,Penha - Cosme Velho (Circular),32069624,4.05,onibus_municipal,4.05
12862202,625,Olaria - Saens Peña (Circular),32069624,4.05,onibus_municipal,4.05
12861114,638,Saens Peña - Marechal Hermes (Circular),32069624,4.05,onibus_municipal,4.05
12861244,483,Penha - Siqueira Campos (via Túnel Santa Bárbara),32069624,4.05,onibus_municipal,4.05
12861420,422,Grajaú - Cosme Velho,32069624,4.05,onibus_municipal,4.05
27566110,628,Penha - Nova América (Circular),32069624,4.05,onibus_municipal,4.05
12865900,739,Sulacap - Bangu (Circular),32069624,4.05,onibus_municipal,4.05
12867241,773,Pavuna - Cascadura (via Estrada do Camboatá) (Circular),32069624,4.05,onibus_municipal,4.05
37263661,582,Circular 2 - Leblon - Urca (via Jardim Botânico/Túnel Rebouças/Laranjeiras) (Circular),32069624,4.05,onibus_municipal,4.05
12865017,365,Mendanha - Tiradentes (Expresso),32069624,4.05,onibus_municipal,4.05
39247868,581,Circular 1 - Leblon - Cosme Velho (via Copacabana/Urca/Largo do Machado) (Circular),32069624,4.05,onibus_municipal,4.05
37860538,104,Troncal 04 - São Conrado - Rodoviária (via Av. N. S. de Copacabana/Catete/Av. Francisco Bicalho),32069624,4.05,onibus_municipal,4.05
12863322,837,Campo Grande - Conjunto da Marinha (Circular),32069624,4.05,onibus_municipal,4.05
33650988,827A,Terminal Recreio - Vargem Grande (via Av. Benvindo de Novaes/Gláucio Gil),34127545,4.05,onibus_municipal,4.05
32627014,910A,Bananal - Irajá,34127545,4.05,onibus_municipal,4.05
12863261,802,Bangu - Campo Grande (via Rio da Prata),32069624,4.05,onibus_municipal,4.05
45561324,VLT-01,Linha 1 (Azul),52433953,3.8,vlt,3.8
12867411,629,Irajá - Saens Peña,32069624,4.05,onibus_municipal,4.05
12861365,440,Caju - Copacabana (via Túnel Rebouças/Túnel Velho) (Circular),32069624,4.05,onibus_municipal,4.05
12867190,444,Maré - Copacabana (via Túnel Santa Bárbara) (Circular),32069624,4.05,onibus_municipal,4.05
48625201,BRT 51,Recreio - Vila Militar,34127393,4.05,brt,4.05
12865078,925,Aeroporto Internacional do RJ (AIRJ) - Bancários (Circular),32069624,4.05,onibus_municipal,4.05
12862432,626,Muda - Praça Saens Peña,32069624,4.05,onibus_municipal,4.05
12861240,944,Pavuna - Conjunto Engenheiro Rubens Paiva (Circular),32069624,4.05,onibus_municipal,4.05
12861068,432,Vila Isabel - Leblon (via Túnel Santa Bárbara),32069624,4.05,onibus_municipal,4.05
12860398,393,Bangu - Candelária,32069624,4.05,onibus_municipal,4.05
12862380,940,Ramos (Praia) - Madureira,32069624,4.05,onibus_municipal,4.05
12867300,616,Del Castilho - Fundão (via Cidade Universitária),32069624,4.05,onibus_metro,4.05
40863114,275,Méier - Candelária (Circular),32069624,4.05,onibus_municipal,4.05
12861385,627,Inhaúma - Saens Peña,32069624,4.05,onibus_municipal,4.05
12866692,379,Catiri - Tiradentes,32069624,4.05,onibus_municipal,4.05
12865059,822,Campo Grande - Corcundinha (via Vila Nova) (Circular),32069624,4.05,onibus_municipal,4.05
37263366,517,Gávea (PUC) - Glória (via Fonte da Saudade) (Circular),32069624,4.05,onibus_municipal,4.05
12864067,445,Morro do Alemão - Copacabana (via Túnel Santa Bárbara) (Circular),32069624,4.05,onibus_municipal,4.05
